SR	Example1.dat	Example2.dat	Example3.dat	
5	0	0	0
6	1	6	0
7	4	5	1
8	5	8	1
9	6	8	4
10	2	3	5
11	4	9	7
12	3	10	0
13	7	13	6
14	5	8	6
15	3	7	4
16	4	9	7
17	0	17	7
18	6	9	4
19	2	13	2
20	3	3	4
21	4	10	7
22	4	2	6
23	3	5	7
24	3	5	5
25	2	2	5
26	0	2	2
27	0	1	2
28	0	0	6
29	0	2	2
30	1	1	3
31	0	0	3
32	0	1	2
33	0	0	0
34	0	0	0
35	2	0	1
36	1	1	1
37	0	0	2
38	0	0	2
39	0	0	3
40	0	0	0
41	0	0	3
42	0	0	1
43	0	0	1
44	0	0	1
45	0	0	0
46	0	0	0
47	1	0	0
48	0	0	0
49	2	0	0
50	0	0	1
51	0	0	0
52	1	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
