SR	Example1.dat	Example2.dat	Example3.dat	
5	11	11	10
6	11	20	9
7	15	19	12
8	20	30	12
9	24	25	15
10	28	29	21
11	25	35	21
12	27	41	20
13	31	41	28
14	31	43	28
15	29	42	29
16	29	46	41
17	22	50	36
18	22	39	32
19	21	48	26
20	34	35	28
21	27	32	23
22	19	20	28
23	21	20	25
24	21	17	20
25	16	14	17
26	9	15	18
27	5	13	14
28	4	10	10
29	1	11	10
30	4	8	14
31	2	4	17
32	2	4	7
33	1	1	6
34	1	1	6
35	7	1	6
36	4	1	7
37	3	1	7
38	1	1	10
39	1	1	8
40	1	0	8
41	1	0	5
42	1	0	6
43	1	0	6
44	1	0	3
45	1	0	2
46	1	0	1
47	2	0	1
48	4	0	1
49	3	0	3
50	3	0	0
51	3	0	0
52	3	0	0
53	2	0	0
54	2	0	0
55	2	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
