SR	Example1.dat	Example2.dat	Example3.dat	
5	0	0	0
6	1	3	1
7	0	2	0
8	0	2	1
9	4	7	3
10	2	3	1
11	3	11	1
12	3	10	1
13	1	3	5
14	5	8	3
15	5	10	5
16	10	7	5
17	5	14	10
18	4	16	8
19	5	9	9
20	4	16	4
21	7	6	6
22	2	10	3
23	1	5	4
24	3	8	8
25	7	5	10
26	1	1	5
27	4	3	4
28	1	3	4
29	3	2	6
30	0	2	3
31	0	4	2
32	0	1	2
33	1	3	1
34	0	0	2
35	0	0	1
36	2	1	0
37	1	0	2
38	0	0	1
39	0	0	3
40	0	1	4
41	0	0	0
42	0	0	2
43	0	0	3
44	0	0	0
45	0	0	1
46	0	0	1
47	0	0	0
48	0	0	0
49	1	0	0
50	0	0	2
51	0	0	0
52	1	0	0
53	1	0	0
54	0	0	0
55	0	0	0
56	2	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
