SR	Branches	Terminal points	Intersections
5	0	0	11
6	1	1	11
7	4	0	15
8	5	0	20
9	6	4	24
10	2	2	28
11	4	3	25
12	3	3	27
13	7	1	31
14	5	5	31
15	3	5	29
16	4	10	29
17	0	5	22
18	6	4	22
19	2	5	21
20	3	4	34
21	4	7	27
22	4	2	19
23	3	1	21
24	3	3	21
25	2	7	16
26	0	1	9
27	0	4	5
28	0	1	4
29	0	3	1
30	1	0	4
31	0	0	2
32	0	0	2
33	0	1	1
34	0	0	1
35	2	0	7
36	1	2	4
37	0	1	3
38	0	0	1
39	0	0	1
40	0	0	1
41	0	0	1
42	0	0	1
43	0	0	1
44	0	0	1
45	0	0	1
46	0	0	1
47	1	0	2
48	0	0	4
49	2	1	3
50	0	0	3
51	0	0	3
52	1	1	3
53	0	1	2
54	0	0	2
55	0	0	2
56	0	2	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
